ID,start_time,end_time,longitude,latitude,update_times,k,utilization_ratio,refill_times,average_cost
tlEgrr@KEDalkH8fwmrKgyx5Azz6joC-,1477886788.0,1478059588.0,104.0441046,30.7016771,4,3,1.0,2,0.009999959729611874
mkHsrubAGE9pdz-ctvjMtyu.EMF1tqF6,1477886823.0,1478059623.0,104.0960305,30.7158470,80,3,0.95,3,0.011886248830705881
peCtnm8JMAbniA5hyotFuxm9EGJ5omu3,1477886858.0,1478059658.0,104.0491032,30.6905693,2972,3,0.3351278600269179,2,0.013074159031811585
qhCloxbHAH8nmu_eBjgKkxr8MFH0jov3,1477886880.0,1478059680.0,104.0568592,30.6687925,1154,3,0.22010398613518198,18,0.008920362167563967
xnFprj.NBz_llzcqrxkArsvaGJy2qiJ1,1477886883.0,1478059683.0,104.1008279,30.6613010,2670,3,0.3153558052434457,2,0.012028504124657715
lnEplrbFIw2jjJ-kyooKrqmbDJI-meCa,1477886941.0,1478059741.0,104.0966010,30.6507739,15708,3,0.1063152533740769,2,0.0357374579801981
rhzrstbKKC5ijz5cpufMuzq4HKvbgeJ0,1477886941.0,1478059741.0,104.0385997,30.6889471,10,3,1.0,5,0.004330044612288475
mqEhrraKDwcgjAcizolIrys8BIC_qiH2,1477886968.0,1478059768.0,104.0656162,30.6494497,46,3,0.8695652173913043,20,0.013900004610743212
vkBgAl7NMJ8elD8eCprNuxr.EJJ9rqx1,1477886994.0,1478059794.0,104.1750179,30.6962401,5580,3,0.21792114695340503,2,0.013719497483864588
lpGuAraLFD8jnC4ntsszpss5BCA_pkG9,1477887010.0,1478059810.0,104.1131447,30.6682514,248,3,0.1693548387096774,35,0.007355245836679973
thzlvp4JMI-jex1jBnlNkmq-LAG.fdF0,1477887048.0,1478059848.0,104.0657823,30.6694848,1520,3,0.5144736842105263,2,0.010503814892696315
lqIfoo@GLJ5nfD.krveMfmi6AFG1gdCb,1477887141.0,1478059941.0,104.0574386,30.6552583,270,3,0.5851851851851851,44,0.009960369896833543
nmyopk@IEFbtqB2hCveGosl7zBA6nox0,1477887159.0,1478059959.0,104.0948913,30.6545808,1906,3,0.0912906610703043,16,0.018448905544384827
nfFmAm7KJxanfvcipqrBrwq@GDJclgF6,1477887180.0,1478059980.0,104.0318126,30.6897875,262,3,0.8091603053435115,25,0.010479006112929973
tqJfsi3EzGahrv1ozrpymwq6JIv3gpv3,1477887184.0,1478059984.0,104.0732976,30.6875088,2982,3,0.2904091213950369,4,0.011484473156677166
woDkpn4ONI8ljD6mqimymnn5COF0jlI2,1477887205.0,1478060005.0,104.0770769,30.6189326,406,3,0.059113300492610835,33,0.013172429220136164
xsBgzqaEzx_pmE2jzqsDmqu7KKI7lmI8,1477887257.0,1478060057.0,104.0406220,30.6996320,18,3,0.8888888888888888,9,0.011411055715547668
isKowm.IFy2ojC2csstHrvu4GHFcnsu1,1477887266.0,1478060066.0,104.0757095,30.6754637,424,3,0.4386792452830189,9,0.007940799476719409
qkylAv4AFA-hdw.fsqtHtAk4HEDapgB7,1477887279.0,1478060079.0,104.0132439,30.6940599,416,3,0.3125,33,0.007890630513429642
imEuyxbHDu.rqz7eqljAitl@EHA6rgzb,1477887280.0,1478060080.0,104.0662642,30.6546447,1234,3,0.2917341977309562,3,0.009835738653990303
ohFkpw0ENv7riy3mAlmLnuq@KMv4jlu9,1477887290.0,1478060090.0,104.0909058,30.6479581,1698,3,0.29917550058892817,17,0.009045818380713113
oeHqxm8LGybjrA.hyjryssu9OKz2tlH8,1477887340.0,1478060140.0,104.0909038,30.6613379,9662,3,0.16725315669633617,2,0.015349039106965806
ikNkmx-NzF3srC9jAlkKows6CBC9rnx5,1477887365.0,1478060165.0,104.0578798,30.6590086,2,3,1.0,1,0.004849978722631931
toHlvj3DNz5skz5fswoJnov5OLF8qlv5,1477887374.0,1478060174.0,104.1015117,30.6819257,7228,3,0.1906474820143885,2,0.014769976910185141
wqzfpl2MEJaqiw3gpqizmxtaMCC4pqy9,1477887384.0,1478060184.0,104.0847498,30.6615722,246,3,0.4878048780487805,34,0.007951228947537702
prKttv4zJB2roF1mCjgzswv6HIGcjlHc,1477887425.0,1478060225.0,104.0526188,30.5605352,4282,3,0.2638953759925269,2,0.012542573343188142
jmHrAt4ANycodI3mzpfNnrm6FKv1ksv2,1477887476.0,1478060276.0,104.0835393,30.7000222,0,3,0,0,0
woKowi5JBv3gpw1drqtBivjaIJx1irCc,1477887497.0,1478060297.0,104.0773832,30.6849992,452,3,0.05752212389380531,5,0.015671682272073443
rlEiwwaGDIchlB1oxifLjqx-FBE.tnu0,1477887504.0,1478060304.0,104.0733689,30.6712689,48,3,0.4583333333333333,20,0.009204163992156586
mrAtxxbCBzbpey7mrorHrsw@ECF4hfyb,1477887578.0,1478060378.0,104.0791260,30.6594577,4832,3,0.20198675496688742,3,0.012381641097468577
mkDhux0zOG0odB6mvvlzrnu8AHC5feJc,1477887624.0,1478060424.0,104.0495669,30.6694158,11460,3,0.1162303664921466,6,0.0319184292510906
liDntl6IHF0mpz8jsjfCgow9JIH2qpv0,1477887637.0,1478060437.0,104.0893239,30.6626003,1002,3,0.6746506986027944,2,0.009683030285684768
loGmyj@GBBcsixcqypqFttr.JMH_meA.,1477887639.0,1478060439.0,104.0790089,30.6525224,188,3,0.7021276595744681,32,0.012168082398699319
lkAsov6MJIclox0nBjhJkun1ELu1hqv0,1477887753.0,1478060553.0,104.0820836,30.6595006,10,3,1.0,5,0.010309997014701366
ohyfuk.KCA6soG2gAqjIruo3EHH_fmvc,1477887833.0,1478060633.0,104.0842601,30.6565693,4,3,1.0,2,0.004250032361596823
liKiAo8CNC6lrxcquorFtvl-DCHbrmI.,1477887883.0,1478060683.0,104.0634553,30.6571000,68,3,0.7352941176470589,23,0.012035293312852873
roHsri-BLvclqC9oxunyqvt9EJv-moD_,1477888040.0,1478060840.0,104.0235703,30.6855510,1544,3,0.23575129533678757,5,0.009760816872283971
nlyjzqaEII6kpw5dwljLrAn1AzA.kgu2,1477888053.0,1478060853.0,104.0696739,30.7122732,29550,3,0.05759729272419628,2,0.04108639619929334
xmJsul-CNuansu7rAoeJpur9KDzctjE2,1477888079.0,1478060879.0,104.1117876,30.6678943,4,3,1.0,2,0.0038999714888632298
lrAlvw-DAz9rgE2gCmrEuqt2OzF2pqw.,1477888088.0,1478060888.0,104.0444649,30.6927926,1550,3,0.3006451612903226,2,0.00934026023793605
mpHhop2FMxakfv4rswrLiwu6DCJcjly2,1477888099.0,1478060899.0,104.0835489,30.6407770,13682,3,0.1264435024119281,2,0.03286212464358057
ktCsrw8KHIcqnv-rsqpMoyx9HAJ3kgH5,1477888106.0,1478060906.0,104.0231184,30.6893606,2092,3,0.18546845124282982,2,0.01015172079098669
skNosibNKv6jjy_eztkEsxv@NFuannu8,1477888118.0,1478060918.0,104.0765045,30.6601790,1052,3,0.4619771863117871,24,0.009070057156336398
phGtzv9MGF3hiA7mvktyjns8MLE4poJ1,1477888158.0,1478060958.0,104.0546776,30.6931254,5976,3,0.16331994645247658,2,0.013293155781934698
npMulj.LHu0niB-frnhErtl9IFv5inBa,1477888161.0,1478060961.0,104.0925105,30.6409198,240,3,0.2833333333333333,7,0.006281664051736395
xezlAm@DDvceoz1onpiMlxw-OMH7rfC4,1477888176.0,1478060976.0,104.0485473,30.6657565,24218,3,0.07614171277562144,2,0.03867265612218621
vkMgrn@IBD-mhE.eAweGkpo9DzDbkpD_,1477888401.0,1478061201.0,104.1126702,30.6816196,8,3,0.75,4,0.014300050679594278
jlGjyt4GLv-rqD6kqngJhyi9GNB5kmH-,1477888423.0,1478061223.0,104.0867600,30.6651235,122,3,0.5901639344262295,27,0.009545909439320448
smNhss0IKA5msy-jAkiCkxj2FBE1mnC4,1477888454.0,1478061254.0,104.0761717,30.6865153,350,3,0.72,2,0.008032286007489477
nmCssu7KNy6rfG5nzprMsuwbIBvaqrxa,1477888471.0,1478061271.0,103.8890178,30.8009410,33486,3,0.05011049393776504,2,0.03886470146299669
oiEutv8OBJ1hku5dnreJslv0ILz9ihG2,1477888505.0,1478061305.0,104.0662642,30.6546447,6606,3,0.17983651226158037,2,0.013264441564385904
ogHinp5ALEatly3qnnsLorl_ICJ.thH8,1477888555.0,1478061355.0,104.0684906,30.5693590,15108,3,0.11000794281175535,2,0.03262723044995075
utCswq0HGv6iqz8iwooCkli0IJF5tkH4,1477888562.0,1478061362.0,104.0436553,30.6723797,76,3,0.6578947368421053,25,0.009786843101641065
poMoom-OGA9inC6evtoJjqm1BKH8rhz8,1477888567.0,1478061367.0,104.0856737,30.6559384,0,3,0,0,0
keBlqv9FGF9ffu-ptsrFpuv6FDv4emy8,1477888610.0,1478061410.0,104.1026023,30.6253000,16,3,0.875,7,0.00846250622998923
okJizw8MJJcmrC1counDsqj1DLx7jiC1,1477888636.0,1478061436.0,104.0228730,30.6680700,3398,3,0.34902884049440847,16,0.01132860629018473
vgKhlj8zOHbklF3dwtgHspk.KzG9sjG6,1477888696.0,1478061496.0,104.0896027,30.6541927,3876,3,0.2884416924664603,2,0.011939627970919643
usCfrw2MOycorv_fAlqCozm6LEw6elA1,1477888708.0,1478061508.0,104.0839515,30.6784468,19814,3,0.09205612193398607,2,0.03390058627282742
tjIhrx6NIy4lmGaontnLgoq2JzH.ehJ4,1477888784.0,1478061584.0,104.0798127,30.6639499,28,3,0.21428571428571427,13,0.008535746019333601
nrMjym0JFC3hsF_dswkNrot.EJu.riD2,1477888797.0,1478061597.0,104.0117529,30.6764275,1010,3,0.01782178217821782,18,0.013514057189078613
ptMlxm2LJv9inv1kutpMqqp4GOy.pmu_,1477888798.0,1478061598.0,104.0659600,30.6723637,1640,3,0.3719512195121951,18,0.00874792387504585
ogGsrtaEAC5prvaguijHjoi_IHE-ihC_,1477888896.0,1478061696.0,104.0770769,30.6189326,2358,3,0.3053435114503817,2,0.010671162487270722
wpJmqp7zNy5omv9pplhDjzm6ACz-hrzb,1477888913.0,1478061713.0,104.1695733,30.6594305,1438,3,0.3866481223922114,17,0.008338803110672716
kjLklw9OIJ_frJ7cqwjAfon0CHB6trB2,1477889112.0,1478061912.0,104.0808626,30.6525067,4258,3,0.185533114138093,2,0.01155018886072695
ktBkzt6BNu4enz9corjLfno9BLF1qoD0,1477889120.0,1478061920.0,104.0116948,30.6761614,17934,3,0.07137281141964982,2,0.034471304729511085
utMgsj6ONx-fhDcmzwpEjlu-HBF.qiI2,1477889184.0,1478061984.0,104.0384781,30.6630635,1610,3,0.024844720496894408,5,0.016641246895334735
woCton1LOF2lnz3knnfDhvq8zBI_nhH-,1477889198.0,1478061998.0,104.0528762,30.6392966,8,3,1.0,4,0.004662491846829653
keBsuj5AJv_gry7eqsjGlms6JHI7gmHb,1477889200.0,1478062000.0,103.9616288,30.6872812,1074,3,0.37243947858473,4,0.009125046773676653
xgHpsu3NMx3qmIchAphNknoaECA3klE1,1477889221.0,1478062021.0,104.0457758,30.6734127,11348,3,0.13094818470215017,4,0.029458655535210952
sozmpl.zGJ1tdz6gAqiJfxt-FBG5kfv_,1477889239.0,1478062039.0,104.0747050,30.6532597,4,3,1.0,2,0.004200031980872154
tlFqlp9KLy9eqx2hsseMhyp-GLC4mmG9,1477889340.0,1478062140.0,104.0607854,30.6605738,500,3,0.568,29,0.009487202856689692
qhJtAl-JJG6grw0kqrmKgsp_NIJ_liH3,1477889384.0,1478062184.0,104.1126614,30.6703133,14226,3,0.10684661886686349,2,0.03213788938910108
koDqtn8GEI4ogv4qotiNkwr2GEB_spz9,1477889403.0,1478062203.0,104.0414194,30.6830457,3662,3,0.0819224467504096,12,0.020959750117946686
ihJlzl8BED-nlA-hwvfzqzn-zDA3sjI_,1477889491.0,1478062291.0,104.0497224,30.6616860,6618,3,0.11211846479298881,9,0.02557555252692335
qkDomw3CEwcspF.oBopAntw1MIzchiz2,1477889508.0,1478062308.0,104.0009627,30.7073085,800,3,0.1125,4,0.016134001198224723
sjAksm2MNyaoiw_eywgNuwx0OEJ.lnB3,1477889684.0,1478062484.0,104.0563873,30.6602111,60,3,0.5,24,0.0100133513721327
pqNnyw5OGz6tfu3cAxqypoo-NHz9qrJ3,1477889822.0,1478062622.0,104.1531002,30.6378631,974,3,0.2464065708418891,20,0.0076288463991494885
miJuwo6MIGaisy4pxqkCkti0LAx2slBb,1477889845.0,1478062645.0,104.0800496,30.6545166,5186,3,0.25414577709217123,2,0.012641726654328942
vnLlnp1zAE4tdI_gymrzprk@CLI5fjz9,1477890064.0,1478062864.0,104.0578691,30.6740614,496,3,0.6129032258064516,4,0.010302827333010012
ksDmnr9KBB6snv4pBrlKuqo8GGDcmqA_,1477890068.0,1478062868.0,104.0864380,30.6418278,104,3,0.25,30,0.0088788577928566
xiNpxx_NNI.qdx7oAllFizr0EKH_mkC9,1477890092.0,1478062892.0,104.0486819,30.7840988,28242,3,0.06869201897882586,3,0.036392499789754944
rqBhto3AFwbhqz-hxosHfxjaAOH-soA7,1477890096.0,1478062896.0,104.0480760,30.6648806,14774,3,0.08379585758765398,2,0.032903587635234856
nqDqsw.LNI9jfwappogIqmt4zLI9geBb,1477890118.0,1478062918.0,104.0674967,30.6562044,2402,3,0.279766860949209,3,0.010262281253164654
jhIllu-FOv8opB9pCktFtxn.ONG2thA9,1477890174.0,1478062974.0,104.0961325,30.6793346,4138,3,0.07056549057515708,2,0.022511550487744284
neCjwjaOBv4rrw1pBunKtlj.NBB2piD.,1477890255.0,1478063055.0,104.1176143,30.6586485,0,3,0,0,0
lsBkmq-BED-plBckxpeDuuo1ELD0hhw4,1477890289.0,1478063089.0,104.0032525,30.6819923,4,3,1.0,2,0.0038499711081385612
kjMitv8BKu3qiC7cunlyrokbBMJblixa,1477890519.0,1478063319.0,104.1427112,30.6796275,2566,3,0.12782540919719407,14,0.0184335945854987
upDspq2DFF5lnC9kxriCionbMzE7hkD0,1477890679.0,1478063479.0,104.0582862,30.6764701,524,3,0.17938931297709923,2,0.006278624886092338
omNoxt.IOv0erH8pvvnIqsr8FFxbliD4,1477890711.0,1478063511.0,104.0959133,30.6562878,4,3,1.0,2,0.00435003312304616
ngBrwv5OKubqfx.rvioDiwi9MAJ3soD8,1477890712.0,1478063512.0,104.0519254,30.6972551,626,3,0.6166134185303515,2,0.008034668252848017
vjGlnk0HKB4tfy4pwnlMqoo1DLC_esBb,1477890813.0,1478063613.0,104.0787595,30.6725658,1752,3,0.3458904109589041,2,0.009576083569187824
rqNsAr_GGA5tjFaqxtkMmzk-MOFaopG1,1477890868.0,1478063668.0,104.0968099,30.6578934,2,3,1.0,1,0.004300032742321491
jqCllj9AAx4tfw5jCvqEqqv6JBA.keG8,1477890886.0,1478063686.0,104.0241873,30.6902661,1766,3,0.5254813137032842,4,0.010052950322914906
wqFjwx_FEG-lgG9kyleEpwj7LAIapiG0,1477891109.0,1478063909.0,104.0704927,30.5921635,768,3,0.06510416666666667,4,0.014883332672373703
kpAkvx1BHwaodz-hspmEhvtbDKvcelE9,1477891303.0,1478064103.0,104.1228443,30.6518582,4134,3,0.23463957426221577,2,0.012491776075810698
xfGqqs-CCy0ejHahzrkIpAq_KAu7rsx9,1477891308.0,1478064108.0,104.0920493,30.6581129,38,3,0.8421052631578947,18,0.005452654716607772
vkLmpj5AMBcjqCbjyllKfql_LNu0efG2,1477891313.0,1478064113.0,104.0862530,30.6887158,6374,3,0.09946658299341073,8,0.024515849073216727
trJgrv0KIE5moG1hCxeDirs2AzBcfkB_,1477891326.0,1478064126.0,104.0696423,30.7095575,4054,3,0.23630981746423285,2,0.011843514316735975
woKisj5zDH4pgC1cwpmBupu@zEDcfeDc,1477891326.0,1478064126.0,103.9714375,30.6716476,15286,3,0.11710061494177679,2,0.03448535780707891
msKuAv6HGw8liIanAnjAmqv6JCE4jjI1,1477891378.0,1478064178.0,104.0289088,30.6348201,514,3,0.23735408560311283,29,0.007019063878210139
nfJtzr4LDwbfpC7fwqlznAj2ILu8tfx2,1477891396.0,1478064196.0,104.0656162,30.6494497,30,3,1.0,15,0.00420335369805495
tpAoxq9FKIbniH4cBmkKtotbMzF5oqDb,1477891443.0,1478064243.0,104.0629493,30.6221089,2230,3,0.35695067264573993,12,0.009600000013284085
sgEnxo_zKw.glH-ozngDkplbzDI5kgD6,1477891457.0,1478064257.0,104.0696739,30.7122732,12368,3,0.1398771021992238,2,0.030629691350988246
qnDrrt1DGC6hfI0esoeFlmtbAIA5slv7,1477891494.0,1478064294.0,104.0235703,30.6855510,3012,3,0.00199203187250996,2,0.019064739254979816
xnCmvj@OKA.ejy7eBiqKlxibGJG3fgB_,1477891547.0,1478064347.0,104.0417827,30.6884471,1612,3,0.5359801488833746,4,0.009518984050048565
klKpmt@MMxakmv6qBntMglm0FBwaqozb,1477891572.0,1478064372.0,103.9963939,30.6252866,716,3,0.08659217877094973,21,0.013622336282119072
lhDopp8NOx2nhF0fCmeLtnu_AOC4iku0,1477891642.0,1478064442.0,104.0765348,30.6659874,4346,3,0.14818223653934653,12,0.022238753033134172
ijAfzt9GAF9noz4mzlmKuzs4JNA_gqC3,1477891722.0,1478064522.0,104.0546776,30.6931254,820,3,0.6487804878048781,2,0.009062807870710768
nnAfAk-KDA1msC.eqrkzhov.DIw_nsA8,1477891733.0,1478064533.0,104.0637507,30.7050601,158,3,0.8354430379746836,37,0.01104683703683977
stKqwp.Ezy-oqD0lxwmClls1ENE.seJb,1477891745.0,1478064545.0,104.0821196,30.5994644,24132,3,0.06464445549477872,4,0.036040519031662215
wkAorj@CGw2kfI3eBppHhpn4LGA2hrDc,1477891756.0,1478064556.0,104.0697948,30.6661485,1340,3,0.4552238805970149,19,0.008933880512338522
okLjtp0HNDbioB_jtikFlwr6AFFapeC8,1477891832.0,1478064632.0,104.0872309,30.6371041,1454,3,0.36451169188445665,16,0.008563274239667754
tpBjutaBMJ3idG1eppezqso@COAbtpFa,1477891907.0,1478064707.0,104.0805541,30.6750002,420,3,0.46190476190476193,31,0.008750710791597765
jqCnuv3OGFcqgF0qqknCksiaDEu2lmv_,1477891929.0,1478064729.0,104.0573838,30.6868973,1186,3,0.6205733558178752,2,0.008934570482694882
wnCplu1GOG9toIchwoeEoupaKDD3ohu6,1477891945.0,1478064745.0,104.1090314,30.6482326,3432,3,0.26515151515151514,2,0.011334994154936679
ojygwn8KBHbopG8jvjeMryraBAw1ekJa,1477891963.0,1478064763.0,104.0872309,30.6371041,2972,3,0.2718707940780619,2,0.010898015333382189
jiFftx0JAGahhGbnpvqLfvv1IIH0jsI7,1477892047.0,1478064847.0,104.0589201,30.6345665,3934,3,0.20437214031520082,3,0.011630375428294766
mkChst6zCI6hpy1ovtlIhtq2HHG2ksz4,1477892059.0,1478064859.0,104.0863158,30.6460016,4734,3,0.26404731727925645,2,0.012228622470707344
ksHgAi_KKG2rlv1gulqMqtn8zKw9gnH3,1477892083.0,1478064883.0,104.1041139,30.7155790,548,3,0.16423357664233576,2,0.006687405933863925
rgMows8BMzbopC_mArgIizt7KABbesw.,1477892428.0,1478065228.0,104.0790495,30.6591460,256,3,0.75,6,0.01330625127593521
ifJusv2NBI4jfH3msujJmxk8CMH1pgyb,1477892466.0,1478065266.0,103.9606119,30.5831534,16836,3,0.06379187455452602,3,0.03259952249676768
slFszo_JIF_njJ7cnjlKkww5CDx5odw6,1477892588.0,1478065388.0,104.0770769,30.6189326,3538,3,0.23233465234595818,2,0.011210738501731052
ukAgqj2FKv-thv_eAwjMhvi-zIB_qjJ0,1477892597.0,1478065397.0,104.0452361,30.7159302,9294,3,0.1620400258231117,2,0.014440791079366057
shzhnk_DNE3ffzcixwfKnym9NDJ7rqA6,1477892670.0,1478065470.0,104.0095708,30.6917465,82,3,0.12195121951219512,25,0.015302413574806075
viynrx.zLJ7gsG7fukkEmrm8HLubtjCb,1477892674.0,1478065474.0,104.0953678,30.6487165,2366,3,0.24936601859678784,12,0.008929033928242963
jmLmsj.AEEcpeG-kssjDhpu-GDC_qex2,1477892794.0,1478065594.0,104.0388580,30.7084437,15420,3,0.06731517509727626,5,0.03094194473846104
sjIfmx.LMu.gpIclvsjHkqj6MJI.fmBb,1477892889.0,1478065689.0,104.0474114,30.6261413,6482,3,0.18173403270595495,2,0.01404807097268478
qoLltsbCMG3mnA1jnxtLnss3GDu1jkC2,1477892942.0,1478065742.0,104.0558587,30.6461186,5694,3,0.0642781875658588,9,0.023294274420760413
msGhup2JAy1ffy2lvjlBpvm7FFC1rmF_,1477893176.0,1478065976.0,104.1225623,30.6703957,220,3,0.33636363636363636,43,0.008148630149662495
liHpuk3FHv4liB0jCogyizr_CFH6eqH1,1477893209.0,1478066009.0,104.0739529,30.7020194,1188,3,0.24915824915824916,24,0.007629629909703727
rsBqwx@GIB0tiC9nttfHonl@HzE9pkE1,1477893240.0,1478066040.0,104.0513867,30.6927000,416,3,0.3269230769230769,36,0.007407215329854248
irMosq_HLH8qiE2pxljyluv5HJw1qkz5,1477893280.0,1478066080.0,104.0965380,30.6978725,236,3,0.8898305084745762,32,0.010567373927619497
spFiln3BEAaefx8iBmeJisi0KIE3qqv2,1477893372.0,1478066172.0,104.1117891,30.6528616,1500,3,0.23333333333333334,3,0.009010664963473877
keCslx8BAy6jqw3cqqkIhvs2EEEatoG3,1477893384.0,1478066184.0,104.1288712,30.6625449,0,3,0,0,0
tkyiwl8CME0niw3cvtgzgmj-zCw0lhua,1477893421.0,1478066221.0,104.1372296,30.6432556,1826,3,0.43373493975903615,2,0.009560349462645666
riLppq3zJF3fsCacougLlvt.ANC5hnz3,1477893705.0,1478066505.0,104.0076694,30.7058479,5408,3,0.22337278106508876,14,0.011659559939117254
wezfol8LKD-hfxbkCjszooq2GKu5nmA6,1477894166.0,1478066966.0,104.0674967,30.6562044,2492,3,0.24879614767255218,15,0.009432867342041115
